Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251803864$1409,2178761396,2860459678,681698282,2
6251803864$1408,2178761382,2833766770,655005388,2
6251712256$862,1373721719,1729639741,355918022,2
6251712256$861,1373721705,1723635851,349914146,2
6251712256$860,1373721691,1723636487,349914796,2
6251717526$815,1400589111,1703235547,302646436,2
6250345153$281,0,2872947569,2872947569,0
6251892565$493,3413244524,4040748911,627504387,2
6250505806$104,0,1135550748,1135550748,2
6251849958$229,2640759968,2832494865,191734897,2
6251849958$228,2640759954,2810543737,169783783,2
6251849958$221,2640759854,2799137214,158377360,2
6251849958$220,2640759840,2808110683,167350843,2
6251849958$223,2640759882,2795597301,154837419,2
6251849958$222,2640759868,2852276552,211516684,2
6251849958$225,2640759910,2864405864,223645954,2
6251849958$224,2640759896,2800043329,159283433,2
6251849958$227,2640759940,2806591177,165831237,2
6251849958$226,2640759924,2875037309,234277385,2
6251784940$601,2140231086,2530350857,390119771,2
6251748246$0,1523834412,1558799315,34964903,2
6251537638$478,0,608158883,608158883,2
6251941721$133,4225971143,4349178212,123207069,2
6251941721$134,4225971157,4348319904,122348747,2
6251941721$139,4225971227,4350835322,124864095,2
6251812952$1177,2234092521,5216095280,2982002759,2
6251812952$1176,2243859741,4980919377,2737059636,2
6251812952$1175,2241467929,4886546235,2645078306,2
6251812952$1171,2235281223,4797864974,2562583751,2
6251812952$1170,2240264501,5167086407,2926821906,2
6251951306$257,4367037250,4580755620,213718370,2
6251795690$408,2151670934,2672821888,521150954,2
6251795690$409,2151670948,2636670873,484999925,2
6251795690$406,2151670906,2632801279,481130373,2
6251795690$407,2151670920,2651600789,499929869,2
6251795690$404,2151670878,2640034063,488363185,2
6251795690$405,2151670892,2628358667,476687775,2
6251795690$402,2151670850,2629107475,477436625,2
6251795690$403,2151670864,2760575140,608904276,2
6251795690$400,2151670822,2731041140,579370318,2
6251795690$401,2151670836,2628358617,476687781,2
6251982423$358,4952023944,5206075903,254051959,2
6251982423$354,4952023888,5211769636,259745748,2
6251982423$355,4952023902,5206910432,254886530,2
6251982423$356,4952023916,5240065610,288041694,2
6251982423$350,4952023832,5208512144,256488312,2
6251982423$351,4952023846,5209390557,257366711,2
6251994342$0,5100119413,5135659848,35540435,2
6251717526$11,1400577074,1697984729,297407655,2
6251717526$17,1400577158,1700757032,300179874,2
6251892565$768,3413248664,4050971385,637722721,2
6251892565$769,3413248678,4135025791,721777113,2
6251892565$764,3413248608,4023683669,610435061,2
6251892565$765,3413248622,4074388970,661140348,2
6251892565$766,3413248636,4091934582,678685946,2
6251103557$19,0,2034951891,2034951891,2
